Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,1978,SP,Don Sutton,33,15,11,0.577,3.55,34,34,0,12,2,0,238.1,228,109,94,29,54,7,154,5,0,6,990,99,3.62,1.183,8.6,1.1,2.0,5.8,2.85,Right,No
2,1978,SP,Burt Hooton,28,19,10,0.655,2.71,32,32,0,10,3,0,236.0,196,74,71,17,61,4,104,0,0,3,942,130,3.42,1.089,7.5,0.6,2.3,4.0,1.7,Right,No
3,1978,SP,Tommy John,35,17,10,0.63,3.3,33,30,3,7,0,1,213.0,230,95,78,11,53,7,124,5,1,6,912,107,2.91,1.329,9.7,0.5,2.2,5.2,2.34,Left,No
4,1978,SP,Doug Rau,29,15,9,0.625,3.26,30,30,0,7,2,0,199.0,219,82,72,17,68,5,95,2,1,0,859,108,3.8,1.442,9.9,0.8,3.1,4.3,1.4,Left,No
5,1978,SP,Rick Rhoden,25,10,8,0.556,3.66,30,23,4,6,3,0,164.2,160,77,67,13,51,0,79,3,0,7,697,96,3.64,1.281,8.7,0.7,2.8,4.3,1.55,Right,No
6,1978,SP,Bob Welch,21,7,4,0.636,2.02,23,13,6,4,3,3,111.1,92,28,25,6,26,2,66,1,2,2,439,174,2.83,1.06,7.4,0.5,2.1,5.3,2.54,Right,No
7,1978,CL,Terry Forster,26,5,4,0.556,1.93,47,0,40,0,0,22,65.1,56,19,14,2,23,4,46,0,1,2,266,183,2.63,1.209,7.7,0.3,3.2,6.3,2.0,Left,No
8,1978,RP,Charlie Hough,30,5,5,0.5,3.28,55,0,31,0,0,7,93.1,69,38,34,6,48,4,66,5,0,6,390,108,3.71,1.254,6.7,0.6,4.6,6.4,1.38,Right,No
9,1978,RP,Lance Rautzhan,25,2,1,0.667,2.93,43,0,18,0,0,4,61.1,61,22,20,1,19,3,25,1,0,1,258,120,2.96,1.304,9.0,0.1,2.8,3.7,1.32,Left,No
10,1978,RP,Bobby Castillo,23,0,4,0.0,3.97,18,0,7,0,0,1,34.0,28,19,15,2,33,7,30,0,1,0,160,90,4.5,1.794,7.4,0.5,8.7,7.9,0.91,Right,No
11,1978,RP,Mike Garman,28,0,1,0.0,4.41,10,0,6,0,0,0,16.1,15,8,8,3,3,0,5,0,2,0,63,82,4.91,1.102,8.3,1.7,1.7,2.8,1.67,Right,No
12,1978,,Dave Stewart,21,0,0,0.0,0.0,1,0,1,0,0,0,2.0,1,0,0,0,0,0,1,0,0,0,6,0,1.59,0.5,4.5,0.0,0.0,4.5,0.0,Right,No
13,1978,,Dennis Lewallyn,24,0,0,0.0,0.0,1,0,0,0,0,0,2.0,2,0,0,0,0,0,0,0,0,0,8,0,2.59,1.0,9.0,0.0,0.0,0.0,0.0,Right,No
14,1978,,Gerry Hannahs,25,0,0,0.0,9.0,1,0,0,0,0,0,2.0,3,2,2,0,0,0,5,0,0,2,9,48,-2.42,1.5,13.5,0.0,0.0,22.5,0.0,Left,No
15,1978,,Rick Sutcliffe,22,0,0,0.0,0.0,2,0,0,0,0,0,1.2,2,0,0,0,1,0,0,1,0,0,9,0,6.19,1.8,10.8,0.0,5.4,0.0,0.0,Right,No
1,1977,SP,Don Sutton,32,14,8,0.636,3.18,33,33,0,9,3,0,240.1,207,93,85,23,69,2,150,3,1,5,979,121,3.63,1.148,7.8,0.9,2.6,5.6,2.17,Right,No
2,1977,SP,Burt Hooton,27,12,7,0.632,2.62,32,31,1,6,2,1,223.1,184,74,65,14,60,5,153,3,1,5,897,147,3.03,1.093,7.4,0.6,2.4,6.2,2.55,Right,No
3,1977,SP,Tommy John,34,20,7,0.741,2.78,31,31,0,11,3,0,220.1,225,82,68,12,50,3,123,3,0,6,906,138,3.05,1.248,9.2,0.5,2.0,5.0,2.46,Left,No
4,1977,SP,Rick Rhoden,24,16,10,0.615,3.74,31,31,0,4,1,0,216.1,223,98,90,20,63,1,122,2,0,5,906,103,3.71,1.322,9.3,0.8,2.6,5.1,1.94,Right,No
5,1977,SP,Doug Rau,28,14,8,0.636,3.43,32,32,0,4,2,0,212.1,232,87,81,15,49,2,126,6,1,3,896,112,3.25,1.323,9.8,0.6,2.1,5.3,2.57,Left,No
6,1977,CL,Charlie Hough,29,6,12,0.333,3.32,70,1,53,0,0,22,127.1,98,53,47,10,70,6,105,7,0,8,551,116,3.92,1.319,6.9,0.7,4.9,7.4,1.5,Right,No
7,1977,RP,Elias Sosa,27,2,2,0.5,1.98,44,0,20,0,0,1,63.2,42,15,14,7,12,3,47,1,0,1,239,195,3.3,0.848,5.9,1.0,1.7,6.6,3.92,Right,No
8,1977,RP,Mike Garman,27,4,4,0.5,2.73,49,0,30,0,0,12,62.2,60,20,19,7,22,5,29,2,1,0,264,141,4.41,1.309,8.6,1.0,3.2,4.2,1.32,Right,No
9,1977,RP,Stan Wall,26,2,3,0.4,5.34,25,0,9,0,0,0,32.0,36,20,19,3,13,2,22,1,0,0,145,73,3.9,1.531,10.1,0.8,3.7,6.2,1.69,Left,No
10,1977,RP,Lance Rautzhan,24,4,1,0.8,4.35,25,0,5,0,0,2,20.2,25,10,10,0,7,1,13,0,0,0,89,90,2.5,1.548,10.9,0.0,3.0,5.7,1.86,Left,No
11,1977,,Al Downing,36,0,1,0.0,6.75,12,1,2,0,0,0,20.0,22,15,15,4,16,0,23,0,0,1,99,58,5.44,1.9,9.9,1.8,7.2,10.4,1.44,Left,No
12,1977,,Dennis Lewallyn,23,3,1,0.75,4.24,5,1,2,0,0,1,17.0,22,8,8,1,4,1,8,0,0,1,76,93,3.27,1.529,11.6,0.5,2.1,4.2,2.0,Right,No
13,1977,,Bobby Castillo,22,1,0,1.0,3.97,6,1,3,0,0,0,11.1,12,5,5,2,2,0,7,0,0,0,46,100,4.33,1.235,9.5,1.6,1.6,5.6,3.5,Right,No
14,1977,,Hank Webb,27,0,0,0.0,2.25,5,0,3,0,0,0,8.0,5,2,2,1,1,0,2,1,0,0,29,179,4.61,0.75,5.6,1.1,1.1,2.3,2.0,Right,No
1,1976,SP,Don Sutton,31,21,10,0.677,3.06,35,34,1,15,4,0,267.2,231,98,91,22,82,6,161,3,1,4,1093,110,3.45,1.169,7.8,0.7,2.8,5.4,1.96,Right,No
2,1976,SP,Doug Rau,27,16,12,0.571,2.57,34,32,0,8,3,0,231.0,221,71,66,18,69,1,98,7,1,2,950,131,3.78,1.255,8.6,0.7,2.7,3.8,1.42,Left,No
3,1976,SP,Burt Hooton,26,11,15,0.423,3.26,33,33,0,8,4,0,226.2,203,93,82,16,60,6,116,1,0,2,925,104,3.33,1.16,8.1,0.6,2.4,4.6,1.93,Right,No
4,1976,SP,Tommy John,33,10,10,0.5,3.09,31,31,0,6,2,0,207.0,207,76,71,7,61,4,91,0,1,7,868,109,3.08,1.295,9.0,0.3,2.7,4.0,1.49,Left,No
5,1976,SP,Rick Rhoden,23,12,3,0.8,2.98,27,26,0,10,3,0,181.0,165,66,60,17,53,2,77,1,0,3,744,113,3.9,1.204,8.2,0.8,2.6,3.8,1.45,Right,No
6,1976,CL,Charlie Hough,28,12,8,0.6,2.21,77,0,55,0,0,18,142.2,102,43,35,6,77,3,81,8,0,9,600,153,3.83,1.255,6.4,0.4,4.9,5.1,1.05,Right,No
7,1976,RP,Mike Marshall,33,4,3,0.571,4.45,30,0,23,0,0,8,62.2,64,33,31,2,25,2,39,1,0,1,273,76,3.05,1.42,9.2,0.3,3.6,5.6,1.56,Right,No
8,1976,RP,Stan Wall,25,2,2,0.5,3.6,31,0,15,0,0,1,50.0,50,21,20,5,15,2,27,2,0,0,211,94,3.87,1.3,9.0,0.9,2.7,4.9,1.8,Left,No
9,1976,RP,Al Downing,35,1,2,0.333,3.86,17,3,6,0,0,0,46.2,43,21,20,3,18,1,30,0,0,2,196,88,3.34,1.307,8.3,0.6,3.5,5.8,1.67,Left,No
10,1976,RP,Elias Sosa,26,2,4,0.333,3.48,24,0,14,0,0,1,33.2,30,16,13,0,12,4,20,0,0,1,141,98,2.51,1.248,8.0,0.0,3.2,5.3,1.67,Right,No
11,1976,,Dennis Lewallyn,22,1,1,0.5,2.16,4,2,1,0,0,0,16.2,12,5,4,1,6,0,4,0,0,1,67,160,4.01,1.08,6.5,0.5,3.2,2.2,0.67,Right,No
12,1976,,Rick Sutcliffe,20,0,0,0.0,0.0,1,1,0,0,0,0,5.0,2,0,0,0,1,0,3,0,0,0,17,0,2.03,0.6,3.6,0.0,1.8,5.4,3.0,Right,No
1,1975,SP,Andy Messersmith,29,19,14,0.576,2.29,42,40,2,19,7,1,321.2,244,92,82,22,96,2,213,5,0,8,1276,149,3.09,1.057,6.8,0.6,2.7,6.0,2.22,Right,No
2,1975,SP,Doug Rau,26,15,9,0.625,3.11,38,38,0,8,2,0,257.2,227,96,89,18,61,1,151,3,4,1,1046,110,3.07,1.118,7.9,0.6,2.1,5.3,2.48,Left,No
3,1975,SP,Don Sutton,30,16,13,0.552,2.87,35,35,0,11,4,0,254.1,202,87,81,17,62,5,175,3,0,7,1031,119,2.85,1.038,7.1,0.6,2.2,6.2,2.82,Right,No
4,1975,SP,Burt Hooton,25,18,7,0.72,2.82,31,30,0,12,4,0,223.2,172,76,70,16,64,2,148,0,1,3,895,121,3.05,1.055,6.9,0.6,2.6,6.0,2.31,Right,No
5,1975,CL,Mike Marshall,32,9,14,0.391,3.29,58,0,46,0,0,13,109.1,98,46,40,8,39,4,64,4,0,4,469,104,3.55,1.253,8.1,0.7,3.2,5.3,1.64,Right,No
6,1975,RP,Rick Rhoden,22,3,3,0.5,3.08,26,11,5,1,0,0,99.1,94,40,34,8,32,1,40,1,2,2,415,111,3.83,1.268,8.5,0.7,2.9,3.6,1.25,Right,No
7,1975,RP,Al Downing,34,2,1,0.667,2.89,22,6,6,0,0,1,74.2,59,31,24,6,28,1,39,2,1,2,311,119,3.79,1.165,7.1,0.7,3.4,4.7,1.39,Left,No
8,1975,RP,Charlie Hough,27,3,7,0.3,2.95,38,0,24,0,0,4,61.0,43,25,20,3,34,0,34,8,1,4,266,117,4.18,1.262,6.3,0.4,5.0,5.0,1.0,Right,No
9,1975,RP,Jim Brewer,37,3,1,0.75,5.18,21,0,14,0,0,2,33.0,44,20,19,2,12,2,21,1,0,1,152,67,3.28,1.697,12.0,0.5,3.3,5.7,1.75,Left,No
10,1975,,Stan Wall,24,0,1,0.0,1.69,10,0,5,0,0,0,16.0,12,6,3,0,7,0,6,1,0,1,66,208,3.34,1.188,6.8,0.0,3.9,3.4,0.86,Left,No
11,1975,,Dave Sells,28,0,2,0.0,3.86,5,0,5,0,0,0,7.0,6,3,3,2,3,0,1,0,0,0,30,94,7.3,1.286,7.7,2.6,3.9,1.3,0.33,Right,No
12,1975,,Juan Marichal,37,0,1,0.0,13.5,2,2,0,0,0,0,6.0,11,9,9,2,5,1,1,0,1,0,34,27,9.09,2.667,16.5,3.0,7.5,1.5,0.2,Right,No
13,1975,,Geoff Zahn,29,0,1,0.0,9.0,2,0,2,0,0,0,3.0,2,3,3,0,5,1,1,0,0,1,14,44,6.92,2.333,6.0,0.0,15.0,3.0,0.2,Left,No
14,1975,,Dennis Lewallyn,21,0,0,0.0,0.0,2,0,2,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,10,0,2.59,0.333,3.0,0.0,0.0,0.0,0.0,Right,No
1,1974,SP,Andy Messersmith,28,20,6,0.769,2.59,39,39,0,13,3,0,292.1,227,93,84,24,94,0,221,3,3,6,1179,132,3.13,1.098,7.0,0.7,2.9,6.8,2.35,Right,No
2,1974,SP,Don Sutton,29,19,9,0.679,3.23,40,40,0,10,5,0,276.0,241,111,99,23,80,2,179,6,2,4,1148,106,3.3,1.163,7.9,0.8,2.6,5.8,2.24,Right,No
3,1974,SP,Doug Rau,25,13,11,0.542,3.72,36,35,0,3,1,0,198.1,191,90,82,20,70,1,126,4,1,3,848,92,3.74,1.316,8.7,0.9,3.2,5.7,1.8,Left,No
4,1974,SP,Tommy John,31,13,3,0.813,2.59,22,22,0,5,3,0,153.0,133,51,44,4,42,0,78,1,0,5,616,132,2.74,1.144,7.8,0.2,2.5,4.6,1.86,Left,No
5,1974,SP,Al Downing,33,5,6,0.455,3.66,21,16,2,1,1,0,98.1,94,52,40,7,45,0,63,3,0,3,427,94,3.69,1.414,8.6,0.6,4.1,5.8,1.4,Left,No
6,1974,CL,Mike Marshall,31,15,12,0.556,2.42,106,0,83,0,0,21,208.1,191,66,56,9,56,1,143,1,3,5,857,141,2.59,1.186,8.3,0.4,2.4,6.2,2.55,Right,No
7,1974,RP,Charlie Hough,26,9,4,0.692,3.75,49,0,16,0,0,1,96.0,65,45,40,12,40,2,63,4,0,4,389,91,4.27,1.094,6.1,1.1,3.8,5.9,1.58,Right,No
8,1974,RP,Geoff Zahn,28,3,5,0.375,2.03,21,10,3,1,0,0,79.2,78,28,18,3,16,1,33,2,0,2,330,169,2.92,1.18,8.8,0.3,1.8,3.7,2.06,Left,No
9,1974,RP,Jim Brewer,36,4,4,0.5,2.52,24,0,18,0,0,0,39.1,29,14,11,5,10,1,26,0,0,2,156,137,3.67,0.992,6.6,1.1,2.3,5.9,2.6,Left,No
10,1974,,Rick Rhoden,21,1,0,1.0,2.0,4,0,1,0,0,0,9.0,5,2,2,1,4,1,7,0,0,0,35,179,3.8,1.0,5.0,1.0,4.0,7.0,1.75,Right,No
11,1974,,Greg Shanahan,26,0,0,0.0,3.86,4,0,2,0,0,0,7.0,7,3,3,1,5,0,2,0,0,0,34,94,6.01,1.714,9.0,1.3,6.4,2.6,0.4,Right,No
12,1974,,Eddie Solomon,23,0,0,0.0,1.5,4,0,4,0,0,1,6.0,5,1,1,1,2,0,2,0,0,2,25,245,5.08,1.167,7.5,1.5,3.0,3.0,1.0,Right,No
13,1974,,Rex Hudson,20,0,0,0.0,22.5,1,0,0,0,0,0,2.0,6,5,5,2,0,0,0,0,0,0,12,19,15.58,3.0,27.0,9.0,0.0,0.0,0.0,Right,No
1,1973,SP,Don Sutton,28,18,10,0.643,2.42,33,33,0,14,3,0,256.1,196,78,69,18,56,4,200,5,0,10,1006,144,2.63,0.983,6.9,0.6,2.0,7.0,3.57,Right,No
2,1973,SP,Andy Messersmith,27,14,10,0.583,2.7,33,33,0,10,3,0,249.2,196,90,75,24,77,3,177,6,1,6,1015,129,3.4,1.093,7.1,0.9,2.8,6.4,2.3,Right,No
3,1973,SP,Claude Osteen,33,16,11,0.593,3.31,33,33,0,12,3,0,236.2,227,97,87,20,61,2,86,2,0,7,961,106,3.74,1.217,8.6,0.8,2.3,3.3,1.41,Left,No
4,1973,SP,Tommy John,30,16,7,0.696,3.1,36,31,3,4,2,0,218.0,202,88,75,16,50,2,116,4,0,3,888,113,3.2,1.156,8.3,0.7,2.1,4.8,2.32,Left,No
5,1973,SP,Al Downing,32,9,9,0.5,3.31,30,28,1,5,2,0,193.0,155,87,71,19,68,3,124,1,1,7,790,106,3.63,1.155,7.2,0.9,3.2,5.8,1.82,Left,No
6,1973,CL,Jim Brewer,35,6,8,0.429,3.01,56,0,39,0,0,20,71.2,58,26,24,8,25,9,56,0,0,4,292,116,3.5,1.158,7.3,1.0,3.1,7.0,2.24,Left,No
7,1973,RP,Charlie Hough,25,4,2,0.667,2.76,37,0,18,0,0,5,71.2,52,24,22,3,45,2,70,6,0,2,309,127,3.29,1.353,6.5,0.4,5.7,8.8,1.56,Right,No
8,1973,RP,Doug Rau,24,4,2,0.667,3.96,31,3,14,0,0,3,63.2,64,28,28,5,28,2,51,1,0,0,280,89,3.35,1.445,9.0,0.7,4.0,7.2,1.82,Left,No
9,1973,RP,Pete Richert,33,3,3,0.5,3.18,39,0,21,0,0,7,51.0,44,18,18,5,19,5,31,1,2,1,216,111,3.8,1.235,7.8,0.9,3.4,5.5,1.63,Left,No
10,1973,RP,George Culver,29,4,4,0.5,3.0,28,0,13,0,0,2,42.0,45,15,14,4,21,6,23,1,0,2,185,117,4.28,1.571,9.6,0.9,4.5,4.9,1.1,Right,No
11,1973,,Greg Shanahan,25,0,0,0.0,3.45,7,0,4,0,0,1,15.2,14,6,6,2,4,0,11,0,0,1,66,104,3.59,1.149,8.0,1.1,2.3,6.3,2.75,Right,No
12,1973,,Geoff Zahn,27,1,0,1.0,1.35,6,1,2,0,0,0,13.1,5,2,2,2,2,0,9,0,0,1,48,267,3.62,0.525,3.4,1.4,1.4,6.1,4.5,Left,No
13,1973,,Eddie Solomon,22,0,0,0.0,7.11,4,0,1,0,0,0,6.1,10,5,5,3,4,0,6,1,0,1,33,52,9.2,2.211,14.2,4.3,5.7,8.5,1.5,Right,No
14,1973,,Greg Heydeman,21,0,0,0.0,4.5,1,0,1,0,0,0,2.0,2,1,1,0,1,0,1,1,0,2,11,95,4.57,1.5,9.0,0.0,4.5,4.5,1.0,Right,No
1,1972,SP,Don Sutton,27,19,9,0.679,2.08,33,33,0,18,9,0,272.2,186,78,63,13,63,1,207,4,1,9,1061,162,2.24,0.913,6.1,0.4,2.1,6.8,3.29,Right,No
2,1972,SP,Claude Osteen,32,20,11,0.645,2.64,33,33,0,14,4,0,252.0,232,82,74,16,69,4,100,4,0,5,1033,127,3.3,1.194,8.3,0.6,2.5,3.6,1.45,Left,No
3,1972,SP,Al Downing,31,9,9,0.5,2.98,31,30,1,7,4,0,202.2,196,81,67,13,67,2,117,7,1,2,868,113,3.17,1.298,8.7,0.6,3.0,5.2,1.75,Left,No
4,1972,SP,Tommy John,29,11,5,0.688,2.89,29,29,0,4,1,0,186.2,172,68,60,14,40,1,117,3,0,10,766,116,2.81,1.136,8.3,0.7,1.9,5.6,2.93,Left,No
5,1972,SP,Bill Singer,28,6,16,0.273,3.67,26,25,0,4,3,0,169.1,148,84,69,8,60,4,101,5,0,5,708,92,2.97,1.228,7.9,0.4,3.2,5.4,1.68,Right,No
6,1972,CL,Jim Brewer,34,8,7,0.533,1.26,51,0,41,0,0,17,78.1,41,16,11,6,25,11,69,2,0,1,303,267,2.67,0.843,4.7,0.7,2.9,7.9,2.76,Left,No
7,1972,RP,Pete Mikkelsen,32,5,5,0.5,4.06,33,0,17,0,0,5,57.2,65,32,26,3,23,4,41,5,1,3,265,83,3.11,1.526,10.1,0.5,3.6,6.4,1.78,Right,No
8,1972,RP,Pete Richert,32,2,3,0.4,2.25,37,0,22,0,0,6,52.0,42,17,13,3,18,5,38,1,0,2,213,150,2.78,1.154,7.3,0.5,3.1,6.6,2.11,Left,No
9,1972,RP,Mike Strahler,25,1,2,0.333,3.26,19,2,5,1,0,0,47.0,42,25,17,5,22,1,25,1,0,2,207,104,4.19,1.362,8.0,1.0,4.2,4.8,1.14,Right,No
10,1972,RP,Hoyt Wilhelm,49,0,1,0.0,4.62,16,0,9,0,0,1,25.1,20,16,13,0,15,0,9,0,0,4,112,74,3.46,1.382,7.1,0.0,5.3,3.2,0.6,Right,No
11,1972,,Doug Rau,23,2,2,0.5,2.2,7,3,3,2,0,0,32.2,18,11,8,1,11,2,19,1,0,0,130,154,2.74,0.888,5.0,0.3,3.0,5.2,1.73,Left,No
12,1972,,Ron Perranoski,36,2,0,1.0,2.7,9,0,4,0,0,0,16.2,19,8,5,0,8,0,5,0,0,0,74,128,3.24,1.62,10.3,0.0,4.3,2.7,0.63,Left,No
13,1972,,Jose Pena,29,0,0,0.0,8.59,5,0,1,0,0,0,7.1,13,8,7,1,6,1,4,0,0,0,42,41,5.54,2.591,16.0,1.2,7.4,4.9,0.67,Right,No
14,1972,,Charlie Hough,24,0,0,0.0,3.38,2,0,2,0,0,0,2.2,2,1,1,0,2,0,4,1,0,0,13,116,2.77,1.5,6.8,0.0,6.8,13.5,2.0,Right,No
1,1971,SP,Don Sutton,26,17,12,0.586,2.54,38,37,1,12,4,1,265.1,231,85,75,10,55,5,194,5,0,5,1059,127,2.16,1.078,7.8,0.3,1.9,6.6,3.53,Right,No
2,1971,SP,Al Downing,30,20,9,0.69,2.68,37,36,0,12,5,0,262.1,245,93,78,16,84,3,136,3,1,12,1095,121,3.2,1.254,8.4,0.5,2.9,4.7,1.62,Left,No
3,1971,SP,Claude Osteen,31,14,11,0.56,3.51,38,38,0,11,4,0,259.0,262,108,101,25,63,2,109,3,1,4,1071,92,3.63,1.255,9.1,0.9,2.2,3.8,1.73,Left,No
4,1971,SP,Bill Singer,27,10,17,0.37,4.16,31,31,0,8,1,0,203.1,195,103,94,19,71,1,144,4,0,3,863,78,3.36,1.308,8.6,0.8,3.1,6.4,2.03,Right,No
5,1971,SP,Doyle Alexander,20,6,6,0.5,3.8,17,12,0,4,0,0,92.1,105,45,39,6,18,0,30,1,0,1,395,85,3.26,1.332,10.2,0.6,1.8,2.9,1.67,Right,No
6,1971,CL,Jim Brewer,33,6,5,0.545,1.88,55,0,41,0,0,22,81.1,55,17,17,4,24,5,66,0,0,3,317,173,2.35,0.971,6.1,0.4,2.7,7.3,2.75,Left,No
7,1971,RP,Pete Mikkelsen,31,8,5,0.615,3.65,41,0,28,0,0,5,74.0,67,38,30,10,17,5,46,1,0,3,301,89,3.69,1.135,8.1,1.2,2.1,5.6,2.71,Right,No
8,1971,RP,Joe Moeller,28,2,4,0.333,3.8,28,1,9,0,0,1,66.1,72,32,28,5,12,2,32,0,0,1,280,86,3.01,1.266,9.8,0.7,1.6,4.3,2.67,Right,No
9,1971,RP,Jose Pena,28,2,0,1.0,3.56,21,0,14,0,0,1,43.0,32,18,17,7,18,1,44,1,0,1,176,92,3.85,1.163,6.7,1.5,3.8,9.2,2.44,Right,No
10,1971,RP,Bob O'Brien,22,2,2,0.5,3.0,14,4,5,1,1,0,42.0,42,18,14,4,13,1,15,1,2,5,177,109,3.97,1.31,9.0,0.9,2.8,3.2,1.15,Left,No
11,1971,,Sandy Vance,24,2,1,0.667,6.92,10,3,3,0,0,0,26.0,38,21,20,1,9,0,11,0,0,3,121,47,3.14,1.808,13.2,0.3,3.1,3.8,1.22,Right,No
12,1971,,Hoyt Wilhelm,48,0,1,0.0,1.02,9,0,7,0,0,3,17.2,6,2,2,1,4,0,15,0,0,0,59,325,2.17,0.566,3.1,0.5,2.0,7.6,3.75,Right,No
13,1971,,Mike Strahler,24,0,0,0.0,2.84,6,0,3,0,0,0,12.2,10,4,4,1,8,0,7,0,0,1,55,118,4.27,1.421,7.1,0.7,5.7,5.0,0.88,Right,No
14,1971,,Charlie Hough,23,0,0,0.0,4.15,4,0,3,0,0,0,4.1,3,3,2,1,3,0,4,0,0,0,19,86,5.68,1.385,6.2,2.1,6.2,8.3,1.33,Right,No
1,1970,SP,Don Sutton,25,15,13,0.536,4.08,38,38,0,10,4,0,260.1,251,127,118,38,78,7,201,10,2,9,1109,94,4.01,1.264,8.7,1.3,2.7,6.9,2.58,Right,No
2,1970,SP,Claude Osteen,30,16,14,0.533,3.83,37,37,0,11,4,0,258.2,280,121,110,24,52,3,114,4,0,1,1085,100,3.61,1.284,9.7,0.8,1.8,4.0,2.19,Left,No
3,1970,SP,Alan Foster,23,10,13,0.435,4.26,33,33,0,7,1,0,198.2,200,104,94,22,81,2,83,2,0,7,857,90,4.5,1.414,9.1,1.0,3.7,3.8,1.02,Right,No
4,1970,SP,Joe Moeller,27,7,9,0.438,3.92,31,19,7,2,1,4,135.1,131,63,59,16,43,3,63,1,0,2,578,97,4.22,1.286,8.7,1.1,2.9,4.2,1.47,Right,No
5,1970,SP,Sandy Vance,23,7,7,0.5,3.13,20,18,0,2,0,0,115.0,109,47,40,9,37,2,45,1,0,5,484,122,3.86,1.27,8.5,0.7,2.9,3.5,1.22,Right,No
6,1970,SP,Bill Singer,26,8,5,0.615,3.13,16,16,0,5,3,0,106.1,79,39,37,10,32,3,93,2,1,1,428,122,3.07,1.044,6.7,0.8,2.7,7.9,2.91,Right,No
7,1970,CL,Jim Brewer,32,7,6,0.538,3.13,58,0,41,0,0,24,89.0,66,36,31,10,33,9,91,0,0,8,361,122,3.17,1.112,6.7,1.0,3.3,9.2,2.76,Left,No
8,1970,RP,Pete Mikkelsen,30,4,2,0.667,2.76,33,0,22,0,0,6,62.0,48,20,19,5,20,4,47,4,0,1,255,139,3.33,1.097,7.0,0.7,2.9,6.8,2.35,Right,No
9,1970,RP,Fred Norman,27,2,0,1.0,5.23,30,0,11,0,0,1,62.0,65,40,36,8,33,1,47,2,1,10,282,73,4.49,1.581,9.4,1.2,4.8,6.8,1.42,Left,No
10,1970,RP,Ray Lamb,25,6,1,0.857,3.79,35,0,15,0,0,0,57.0,59,27,24,4,27,9,32,4,1,4,250,101,4.06,1.509,9.3,0.6,4.3,5.1,1.19,Right,No
11,1970,RP,Jose Pena,27,4,3,0.571,4.42,29,0,15,0,0,4,57.0,51,32,28,8,29,5,31,3,1,1,251,87,5.06,1.404,8.1,1.3,4.6,4.9,1.07,Right,No
12,1970,,Mike Strahler,23,1,1,0.5,1.45,6,0,3,0,0,1,18.2,13,6,3,1,10,0,11,0,0,0,77,269,3.76,1.232,6.3,0.5,4.8,5.3,1.1,Right,No
13,1970,,Charlie Hough,22,0,0,0.0,5.29,8,0,5,0,0,2,17.0,18,11,10,7,11,0,8,0,0,0,79,74,8.99,1.706,9.5,3.7,5.8,4.2,0.73,Right,No
14,1970,,Camilo Pascual,36,0,0,0.0,2.57,10,0,3,0,0,0,14.0,12,4,4,2,5,1,8,1,0,0,59,152,4.64,1.214,7.7,1.3,3.2,5.1,1.6,Right,No
15,1970,,Jerry Stephenson,26,0,0,0.0,9.45,3,0,1,0,0,0,6.2,11,7,7,0,5,0,6,0,0,0,34,43,3.09,2.4,14.9,0.0,6.8,8.1,1.2,Right,No
16,1970,,Al McBean,32,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,0,2.64,1.0,9.0,0.0,0.0,0.0,0.0,Right,No
1,1969,SP,Claude Osteen,29,20,15,0.571,2.66,41,41,0,16,7,0,321.0,293,103,95,17,74,8,183,6,0,8,1291,124,2.8,1.143,8.2,0.5,2.1,5.1,2.47,Left,No
2,1969,SP,Bill Singer,25,20,12,0.625,2.34,41,40,1,16,2,1,315.2,244,96,82,22,74,4,247,10,0,9,1263,142,2.65,1.007,7.0,0.6,2.1,7.0,3.34,Right,No
3,1969,SP,Don Sutton,24,17,18,0.486,3.47,41,41,0,11,4,0,293.1,269,123,113,25,91,6,217,3,1,9,1226,96,3.1,1.227,8.3,0.8,2.8,6.7,2.38,Right,No
4,1969,SP,Alan Foster,22,3,9,0.25,4.38,24,15,4,2,2,0,102.2,119,55,50,11,29,4,59,4,0,6,451,76,3.72,1.442,10.4,1.0,2.5,5.2,2.03,Right,No
5,1969,SP,Don Drysdale,32,5,4,0.556,4.45,12,12,0,1,1,0,62.2,71,34,31,9,13,0,24,2,0,1,267,75,4.33,1.34,10.2,1.3,1.9,3.4,1.85,Right,No
6,1969,CL,Jim Brewer,31,7,6,0.538,2.55,59,0,43,0,0,20,88.1,71,30,25,5,41,6,92,4,2,3,372,131,2.69,1.268,7.2,0.5,4.2,9.4,2.24,Left,No
7,1969,RP,Pete Mikkelsen,29,7,5,0.583,2.77,48,0,26,0,0,4,81.1,57,34,25,9,30,8,51,4,0,2,336,120,3.95,1.07,6.3,1.0,3.3,5.6,1.7,Right,No
